Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
187,ET55946,Align-X,Functional Tests,RF1,8,2,2,,,PASSED,gdrss3-33,1/20/2026 18:04,00:06:48,A; G (Ship It); Y (N5886A - CHANNEL 1)
191,ET54791,POSTPONEMENT,Functional Tests G2.4,CPU,15,2,2,,,PASSED,gdrss24,1/21/2026 07:35,00:01:19,A; G (Ship It)
192,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,2,2,2,,,PASSED,gdrss96,1/21/2026 09:06,00:53:58,A; G (Ship It)
193,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,3,2,2,,,PASSED,gdrss96,1/21/2026 10:00,00:07:08,A; G (Ship It)
194,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,5,2,2,,,PASSED,gdrss96,1/21/2026 10:08,00:00:10,A; G (Ship It)
195,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,6,2,2,,,PASSED,gdrss96,1/21/2026 10:08,00:00:58,A; G (Ship It)
196,ET54791,POSTPONEMENT,CustomerInit,CPU,2,2,2,,,PASSED,gdrss96,1/21/2026 10:10,00:06:10,A; G (Ship It)
197,ET54791,POSTPONEMENT,CustomerInit,CPU,3,2,2,,,PASSED,gdrss96,1/21/2026 10:16,00:00:03,A; G (Ship It)
198,ET54791,POSTPONEMENT,Functional Tests G2.4,RF1,5,2,2,,,PASSED,gdrss96,1/21/2026 10:17,00:11:03,A; G (Ship It); Y (N5886A - CHANNEL 1)
202,ET54791,POSTPONEMENT,FinalConfiguration,CPU,2,2,2,,,PASSED,gdrss96,1/21/2026 10:41,00:00:20,G (Ship It); J (AMG;A6J - any)
204,ET53925,HiPot EI,RST,,3,2,2,,,PASSED,sshipot01,1/21/2026 13:00,00:01:02,A; G (Ship It)
