Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Test Group,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
23,ET55946,Align-X,SelfTest Power Supply Interface,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:41,00:00:15,
24,ET55946,Align-X,SelfTest Reference,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:42,00:00:31,
25,ET55946,Align-X,SelfTest Tone Generator,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:43,00:00:08,
26,ET55946,Align-X,SelfTest MiniMoab,RF1,2,,2,2,,,PASSED,jkh,1/31/2026 20:06,00:05:30,Y (N1525A - CHANNEL 1)
28,ET55946,Align-X,Adjustment Reference,CPU,2,,2,2,,,PASSED,mod039,1/31/2026 13:48,00:11:31,
29,ET55946,Align-X,Adjustment Synth,RF1,2,,2,2,,,PASSED,mod039,1/31/2026 14:00,00:47:20,Y (N1525A - CHANNEL 1)
31,ET55946,Align-X,Adjustment Rear Panel IO,RF1,4,,2,2,,,CLEARED,mod039,1/31/2026 14:48,00:01:24,Y (N1525A - CHANNEL 1)
33,ET55946,Align-X,Functional RF,RF1,2,,2,2,,,CLEARED,sr-ssd92,2/1/2026 07:15,00:53:01,Y (N1525A - CHANNEL 1)
35,ET55946,Align-X,Functional Ref ToneGen,CPU,2,,2,2,,,CLEARED,mod039,1/31/2026 15:56,00:25:40,
36,ET55946,Align-X,Functional Rear Panel,RF1,4,,2,2,,,CLEARED,mod039,1/31/2026 16:24,00:00:35,Y (N1525A - CHANNEL 1)
38,ET55946,Align-X,Functional Front Panel,CPU,2,,2,2,,,CLEARED,mod039,1/31/2026 16:27,00:00:34,
39,ET56035,SSA MINT,Phase Noise 2.4GHz Out,CPU,8,NPI,2,2,,,CLEARED,louchis,1/22/2026 15:14,00:11:44,
40,ET43064,YS Loading Gate,LoadingGateTest,CPU,2,,2,2,,,PASSED,sr-ssd33vm,2/1/2026 12:49,00:02:10,B
41,Insert test plan: N1525A 1A65080025,B; C; I (001); Q,,,,,,,,,,,,,
42,ET57033,PNA-X,Adjustment Moab Power Sweep,RF1,6,,2,2,626688,,PASSED,sr-ssd21,2/1/2026 12:58,00:18:03,Y (N1525A - CHANNEL 1)
43,ET57033,PNA-X,Adjustment Moab Power Sweep,RF1,16,,2,2,626688,,PASSED,sr-ssd21,2/1/2026 13:16,00:15:54,Y (N1525A - CHANNEL 1)
44,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,4,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 13:35,00:15:41,A; Y (N1525A - CHANNEL 1)
45,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,5,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 13:52,00:18:29,A; Y (N1525A - CHANNEL 1)
46,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,6,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 14:11,00:20:45,A; Y (N1525A - CHANNEL 1)
47,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,14,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 14:33,00:16:17,A; Y (N1525A - CHANNEL 1)
48,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,15,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 14:50,00:18:24,A; Y (N1525A - CHANNEL 1)
49,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,16,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 15:10,00:20:49,A; Y (N1525A - CHANNEL 1)
50,ET54730,ACLR-Test,Adjustment Modulator Schedule,RF1,24,,2,2,57344,,PASSED,sr-ssd40,2/1/2026 15:31,00:12:20,A; Y (N1525A - CHANNEL 1)
51,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,4,,2,2,622848,,PASSED,sr-ssd50,2/1/2026 15:45,01:39:06,A; Y (N1525A - CHANNEL 1)
52,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,5,,2,2,622848,,PASSED,sr-ssd50,2/1/2026 17:25,01:32:22,A; Y (N1525A - CHANNEL 1)
53,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,6,,2,2,622848,,PASSED,sr-ssd50,2/1/2026 18:59,01:35:49,A; Y (N1525A - CHANNEL 1)
54,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,14,,2,2,622848,,PASSED,sr-ssd50,2/1/2026 20:35,02:15:26,A; Y (N1525A - CHANNEL 1)
55,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,15,,2,2,622848,,PASSED,sr-ssd50,2/1/2026 22:52,01:30:33,A; Y (N1525A - CHANNEL 1)
56,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,16,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 00:23,01:34:45,A; Y (N1525A - CHANNEL 1)
57,ET57033,PNA-X,Adjustment Modulator Region Sweep NA,RF1,24,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 01:59,01:37:07,A; Y (N1525A - CHANNEL 1)
58,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,4,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 03:37,00:06:15,A; Y (N1525A - CHANNEL 1)
59,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,5,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 05:55,00:04:18,A; Y (N1525A - CHANNEL 1)
60,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,6,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 06:00,00:04:46,A; Y (N1525A - CHANNEL 1)
61,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,14,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 06:06,00:06:35,A; Y (N1525A - CHANNEL 1)
62,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,15,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 06:13,00:04:34,A; Y (N1525A - CHANNEL 1)
63,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,16,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 06:19,00:04:57,A; Y (N1525A - CHANNEL 1)
64,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,24,,2,2,622848,,CLEARED,sr-ssd50,2/2/2026 06:24,00:06:44,A; Y (N1525A - CHANNEL 1)
65,ET57033,PNA-X,Amp Acc OpenLoop YIG,RF1,50,FAST,2,2,626688,,FAILED,sr-ssd21,2/2/2026 06:33,00:06:26,A; Y (N1525A - CHANNEL 1)
66,ET57033,PNA-X,Amp Acc OpenLoop PhxDir,RF1,50,FAST,2,2,626688,,PASSED,sr-ssd21,2/2/2026 06:41,00:06:06,A; Y (N1525A - CHANNEL 1)
67,ET57033,PNA-X,Adjustment Modulator,RF1,4,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 06:49,00:08:53,A; Y (N1525A - CHANNEL 1)
68,ET57033,PNA-X,Adjustment Modulator,RF1,5,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 06:59,00:05:56,A; Y (N1525A - CHANNEL 1)
69,ET57033,PNA-X,Adjustment Modulator,RF1,6,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 07:05,00:09:18,A; Y (N1525A - CHANNEL 1)
70,ET57033,PNA-X,Adjustment Modulator,RF1,14,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 07:16,00:07:56,A; Y (N1525A - CHANNEL 1)
71,ET57033,PNA-X,Adjustment Modulator,RF1,15,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 07:24,00:05:30,A; Y (N1525A - CHANNEL 1)
72,ET57033,PNA-X,Adjustment Modulator,RF1,16,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 07:30,00:08:40,A; Y (N1525A - CHANNEL 1)
73,ET57033,PNA-X,Adjustment Modulator,RF1,24,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 07:40,00:07:52,A; Y (N1525A - CHANNEL 1)
74,ET52727,High Power Cal,Adjustment Dac Sweep,RF1,3,,2,2,,,FAILED,sr-ssd29_2,2/2/2026 09:05,00:08:27,Y (N1525A - CHANNEL 1)
75,ET57033,PNA-X,Adjustment PathGain,RF1,2,,2,2,622848,,PASSED,sr-ssd50,2/5/2026 19:41,01:04:48,A; Y (N1525A - CHANNEL 1)
76,ET57033,PNA-X,Adjustment PathGain,RF1,3,,2,2,622848,,PASSED,sr-ssd50,2/5/2026 20:47,00:28:15,A; Y (N1525A - CHANNEL 1)
77,ET57033,PNA-X,Amp Acc OpenLoop YIG,RF1,50,FAST,2,2,626688,,FAILED,sr-ssd51,2/5/2026 21:19,00:18:39,A; Y (N1525A - CHANNEL 1)
78,ET57033,PNA-X,Amp Acc OpenLoop PhxDir,RF1,50,FAST,2,2,626688,,FAILED,sr-ssd29,2/2/2026 09:21,00:05:55,A; Y (N1525A - CHANNEL 1)
79,ET57033,PNA-X,Adjustment Detector,RF1,2,ADJ,2,2,626688,,PASSED,sr-ssd29,2/2/2026 09:27,02:50:17,A; Y (N1525A - CHANNEL 1)
80,ET57033,PNA-X,Amplitude Accuracy Detector,RF1,2,NPI,2,2,626688,,FAILED,sr-ssd21,2/2/2026 12:19,00:10:35,A; Y (N1525A - CHANNEL 1)
81,ET57033,PNA-X,Adjustment Open Loop Power Cal,RF1,2,,2,2,626688,,CLEARED,,,,A; Y (N1525A - CHANNEL 1)
82,ET57033,PNA-X,Adjustment Output Attenuator,RF1,2,,2,2,622848,,PASSED,sr-ssd50,2/2/2026 12:32,01:47:27,A; Y (N1525A - CHANNEL 1)
83,ET54730,ACLR-Test,Adjustment Output Attenuator,RF1,3,,2,2,57344,,PASSED,sr-ssd53,2/2/2026 14:25,00:20:22,A; J; Y (N1525A - CHANNEL 1)
84,ET57033,PNA-X,Amp Acc OpenLoop PhxDivide 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 14:48,00:16:57,E; Y (N1525A - CHANNEL 1)
85,ET57033,PNA-X,Amp Acc OpenLoop PhxDivide 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 15:06,00:51:50,Y (N1525A - CHANNEL 1)
86,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 10-375MHz,RF1,10,VER,2,2,626688,,PASSED,sr-ssd29,2/2/2026 15:59,00:01:50,Y (N1525A - CHANNEL 1)
87,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 16:01,00:16:49,K (Dependency group B parent); Y (N1525A - CHANNEL 1)
88,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 16:19,00:52:24,Y (N1525A - CHANNEL 1)
89,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 375M-3.2GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 17:12,00:06:30,K (Dependency group C parent); Y (N1525A - CHANNEL 1)
90,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 375M-3.2GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 17:19,00:36:20,Y (N1525A - CHANNEL 1)
91,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 3.2-20GHz,RF1,3,VER,2,2,626688,,PASSED,sr-ssd29,2/2/2026 17:56,00:06:04,K (Dependency group D parent); Y (N1525A - CHANNEL 1)
92,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 3.2-20GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 18:03,00:33:01,Y (N1525A - CHANNEL 1)
93,ET57033,PNA-X,Amp Acc OpenLoop YIG 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 18:37,00:16:46,K (Dependency group E parent); Y (N1525A - CHANNEL 1)
94,ET57033,PNA-X,Amp Acc OpenLoop YIG 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 18:54,00:51:54,Y (N1525A - CHANNEL 1)
95,ET57033,PNA-X,Amp Acc OpenLoop YIG 375M-3.2GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 19:47,00:06:29,K (Dependency group F parent); Y (N1525A - CHANNEL 1)
96,ET57033,PNA-X,Amp Acc OpenLoop YIG 375M-3.2GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 19:54,00:36:03,Y (N1525A - CHANNEL 1)
97,ET57033,PNA-X,Amp Acc OpenLoop YIG 3.2-20GHz,RF1,3,VER,2,2,626688,,PASSED,sr-ssd29,2/2/2026 20:31,00:06:06,K (Dependency group G parent); Y (N1525A - CHANNEL 1)
98,ET57033,PNA-X,Amp Acc OpenLoop YIG 3.2-20GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/2/2026 20:38,00:32:56,Y (N1525A - CHANNEL 1)
99,ET57033,PNA-X,Amplitude Accuracy Closed Loop,RF1,4,VER,2,2,626688,,FAILED,sr-ssd29,2/5/2026 10:27,01:58:45,K (Dependency group H parent); Y (N1525A - CHANNEL 1)
100,ET52727,High Power Cal,Amp Acc ClosedLoop DacBand_YTO 9kHz-20GHz_Max_Power_with_PM,RF1,6,,2,2,,,SKIP,sr-ssd52_2,1/9/2026 09:49,00:04:20,Y (N1525A - CHANNEL 1)
101,ET52727,High Power Cal,Amp Acc ClosedLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,3,,2,2,,,SKIP,sr-ssd52_2,1/9/2026 10:00,00:08:45,Y (N1525A - CHANNEL 1)
102,ET52727,High Power Cal,Amp Acc ClosedLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,4,,2,2,,,SKIP,sr-ssd52_2,1/9/2026 10:10,00:11:53,Y (N1525A - CHANNEL 1)
103,ET52727,High Power Cal,Amp Acc DAC Band 9KHz-8MHz,RF1,3,,2,2,,,SKIP,sr-ssd52_2,1/14/2026 06:23,00:35:46,Y (N1525A - CHANNEL 1)
104,ET52727,High Power Cal,Amp Acc DAC Band 9KHz-8MHz,RF1,4,,2,2,,,SKIP,sr-ssd52_2,1/14/2026 07:00,01:38:48,Y (N1525A - CHANNEL 1)
105,ET52727,High Power Cal,Amp Acc OpenLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,3,,2,2,,,SKIP,sr-ssd52_2,1/9/2026 10:57,00:02:15,Y (N1525A - CHANNEL 1)
106,ET52727,High Power Cal,Amp Acc OpenLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,4,,2,2,,,SKIP,sr-ssd52_2,1/9/2026 11:00,00:03:52,Y (N1525A - CHANNEL 1)
107,ET56981,Modular Phase Noise,PhaseNoise,RF1,6,,2,2,1,,SKIP,mod006,,,Y (N1525A - CHANNEL 1)
108,ET57381,Peanuts Phase Noise ,PhaseNoise,RF1,2,,2,2,,,SKIP,sr-ssd47,2/3/2026 03:36,01:31:44,Y (N1525A - CHANNEL 1)
109,ET57381,Peanuts Phase Noise ,PhaseNoise,RF1,22,,2,2,,,FAILED,sr-ssd47,2/5/2026 00:28,29:31:35,Y (N1525A - CHANNEL 1)
110,ET54730,ACLR-Test,Pulse Modulation,RF1,2,,2,2,57344,,EXECUTE,sr-ssd52,1/14/2026 08:40,00:06:14,D (Group a); Y (N1525A - CHANNEL 1)
111,ET58116,,Pulse Modulation,RF1,3,,2,2,8192,,UNTESTED,,,,Y (N1525A - CHANNEL 1)
112,ET55857,X-Mod,Pulse Modulation,RF1,2,,2,2,73,,PASSED,sr-ssd02,2/3/2026 06:41,00:07:12,D (Group a); Y (N1525A - CHANNEL 1)
113,ET55857,X-Mod,Pulse Modulation,RF1,3,,2,2,73,,FAILED,sr-ssd02,2/3/2026 16:02,01:48:42,Y (N1525A - CHANNEL 1)
114,ET54730,ACLR-Test,Switching Speed,RF1,2,VER,2,2,57344,,FAILED,sr-ssd53,2/4/2026 01:44,,Y (N1525A - CHANNEL 1)
115,ET54730,ACLR-Test,Analog Modulation,RF1,4,,2,2,57344,,EXECUTE,sr-ssd53,1/20/2026 17:05,00:03:18,D (Group b); Y (N1525A - CHANNEL 1)
116,ET55857,X-Mod,Analog Modulation,RF1,4,,2,2,73,,ABORTED,sr-ssd02,2/3/2026 11:23,02:18:45,D (Group b); Y (N1525A - CHANNEL 1)
117,ET54730,ACLR-Test,Spectral,RF1,20,,2,2,57344,,FAILED,sr-ssd53,2/4/2026 04:26,07:17:30,Y (N1525A - CHANNEL 1)
118,ET54730,ACLR-Test,Spectral,RF1,25,,2,2,57344,,FAILED,sr-ssd53,2/4/2026 11:45,01:02:22,Y (N1525A - CHANNEL 1)
119,ET54730,ACLR-Test,Spectral,RF1,4,,2,2,57344,,FAILED,sr-ssd53,2/4/2026 12:48,00:29:57,Y (N1525A - CHANNEL 1)
120,ET547301,,Spectral,RF1,99,,2,2,57344,,SKIP,sr-ssd52,1/16/2026 23:40,02:23:08,Y (N1525A - CHANNEL 1)
121,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDivide 10-375MHz Low Power,RF1,3,,2,2,57344,,PASSED,sr-ssd53,2/4/2026 13:19,00:19:59,Y (N1525A - CHANNEL 1)
122,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDir 10-375MHz Low Power,RF1,3,,2,2,57344,,PASSED,sr-ssd53,2/4/2026 14:02,00:20:03,K (Dependency group B child); Y (N1525A - CHANNEL 1)
123,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDir 375M-3.2GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,2/4/2026 14:23,00:13:01,K (Dependency group C child); Y (N1525A - CHANNEL 1)
124,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDir 3.2-20GHz Low Power,RF1,3,,2,2,57344,,SKIP,sr-ssd53,2/4/2026 14:37,00:04:52,K (Dependency group D child); Y (N1525A - CHANNEL 1)
125,ET54730,ACLR-Test,Amp Acc OpenLoop YIG 10-375MHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,2/4/2026 14:43,00:10:42,K (Dependency group E child); Y (N1525A - CHANNEL 1)
126,ET54730,ACLR-Test,Amp Acc OpenLoop YIG 375M-3.2GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,2/4/2026 14:55,00:13:05,K (Dependency group F child); Y (N1525A - CHANNEL 1)
127,ET54730,ACLR-Test,Amp Acc OpenLoop YIG 3.2-20GHz Low Power,RF1,3,,2,2,57344,,SKIP,sr-ssd53,2/4/2026 15:09,00:01:51,K (Dependency group G child); Y (N1525A - CHANNEL 1)
128,ET54730,ACLR-Test,Amplitude Accuracy Closed Loop Low Power,RF1,3,VER,2,2,57344,,EXECUTE,,,,K (Dependency group H child); Y (N1525A - CHANNEL 1)
235,ET54791,Postponement,Imaging,CPU,4,,2,2,,,UNTESTED,,,,A; G (Ship It)
236,ET54791,Postponement,Imaging,CPU,5,,2,2,,,UNTESTED,,,,A; G (Ship It)
237,ET54791,Postponement,CustomerInit,CPU,2,,2,2,,,UNTESTED,,,,A; G (Ship It)
238,ET54791,Postponement,CustomerInit,CPU,3,,2,2,,,UNTESTED,,,,A; G (Ship It)
239,ET54791,Postponement,FinalConfiguration,CPU,2,,2,2,,,UNTESTED,,,,A; G (Ship It)
240,HiPot,High Potential Test,Hi Pot,CPU,2,,2,2,,,UNTESTED,,,,G (Ship It)
