Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Test Group,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
58,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,4,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:01,00:05:20,A; Y (N1525A - CHANNEL 1)
59,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,5,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:07,00:03:17,A; Y (N1525A - CHANNEL 1)
60,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,6,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:12,00:03:38,A; Y (N1525A - CHANNEL 1)
61,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,14,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:16,00:05:30,A; Y (N1525A - CHANNEL 1)
62,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,15,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:23,00:03:30,A; Y (N1525A - CHANNEL 1)
63,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,16,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:27,00:03:53,A; Y (N1525A - CHANNEL 1)
64,ET57033,PNA-X,Adjustment Modulator Program Schedule FPGA,RF1,24,,2,2,622848,,CLEARED,sr-ssd50,1/9/2026 01:31,00:05:37,A; Y (N1525A - CHANNEL 1)
65,ET57033,PNA-X,Amp Acc OpenLoop YIG,RF1,50,FAST,2,2,626688,,CLEARED,sr-ssd51,1/9/2026 01:39,00:06:36,A; Y (N1525A - CHANNEL 1)
66,ET57033,PNA-X,Amp Acc OpenLoop PhxDir,RF1,50,FAST,2,2,626688,,CLEARED,sr-ssd51,1/9/2026 01:47,00:06:17,A; Y (N1525A - CHANNEL 1)
67,ET57033,PNA-X,Adjustment Modulator,RF1,4,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 01:55,00:07:17,A; Y (N1525A - CHANNEL 1)
68,ET57033,PNA-X,Adjustment Modulator,RF1,5,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:03,00:05:03,A; Y (N1525A - CHANNEL 1)
69,ET57033,PNA-X,Adjustment Modulator,RF1,6,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:09,00:06:35,A; Y (N1525A - CHANNEL 1)
70,ET57033,PNA-X,Adjustment Modulator,RF1,14,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:16,00:06:21,A; Y (N1525A - CHANNEL 1)
71,ET57033,PNA-X,Adjustment Modulator,RF1,15,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:24,00:06:17,A; Y (N1525A - CHANNEL 1)
72,ET57033,PNA-X,Adjustment Modulator,RF1,16,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:31,00:06:07,A; Y (N1525A - CHANNEL 1)
73,ET57033,PNA-X,Adjustment Modulator,RF1,24,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:38,00:06:19,A; Y (N1525A - CHANNEL 1)
74,ET52727,High Power Cal,Adjustment Dac Sweep,RF1,3,,2,2,,,PASSED,sr-ssd52_2,1/9/2026 09:46,00:01:40,Y (N1525A - CHANNEL 1)
75,ET57033,PNA-X,Adjustment PathGain,RF1,2,,2,2,622848,,PASSED,sr-ssd50,1/9/2026 02:45,00:55:02,A; Y (N1525A - CHANNEL 1)
76,ET57033,PNA-X,Adjustment PathGain,RF1,3,,2,2,622848,,PASSED,sr-ssd50,1/12/2026 12:00,01:14:12,A; Y (N1525A - CHANNEL 1)
77,ET57033,PNA-X,Amp Acc OpenLoop YIG,RF1,50,FAST,2,2,626688,,CLEARED,sr-ssd51,1/13/2026 13:31,00:06:55,A; Y (N1525A - CHANNEL 1)
78,ET57033,PNA-X,Amp Acc OpenLoop PhxDir,RF1,50,FAST,2,2,626688,,CLEARED,sr-ssd51,1/13/2026 13:40,00:07:56,A; Y (N1525A - CHANNEL 1)
79,ET57033,PNA-X,Adjustment Detector Linearity,RF1,2,ADJ,2,2,626688,,PASSED,sr-ssd21,1/14/2026 20:29,02:18:10,A; Y (N1525A - CHANNEL 1)
80,ET57033,PNA-X,Adjustment Detector Flatness,RF1,2,ADJ,2,2,622848,,PASSED,sr-ssd50,1/13/2026 19:47,00:53:47,A; Y (N1525A - CHANNEL 1)
81,ET57033,PNA-X,Amplitude Accuracy Detector,RF1,2,NPI,2,2,626688,,FAILED,sr-ssd21,1/14/2026 22:48,00:09:22,A; Y (N1525A - CHANNEL 1)
82,ET57033,PNA-X,Adjustment Output Attenuator,RF1,2,,2,2,622848,,PASSED,sr-ssd50,1/13/2026 16:37,01:10:11,A; Y (N1525A - CHANNEL 1)
83,ET54730,ACLR-Test,Adjustment Output Attenuator,RF1,3,,2,2,57344,,PASSED,sr-ssd52,1/14/2026 06:07,00:15:10,A; J; Y (N1525A - CHANNEL 1)
84,ET57033,PNA-X,Amp Acc OpenLoop PhxDivide 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,1/20/2026 20:10,00:16:32,E; Y (N1525A - CHANNEL 1)
85,ET57033,PNA-X,Amp Acc OpenLoop PhxDivide 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd51,1/13/2026 18:29,00:56:42,Y (N1525A - CHANNEL 1)
86,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 10-375MHz,RF1,10,VER,2,2,626688,,FAILED,sr-ssd51,1/13/2026 19:27,00:02:47,Y (N1525A - CHANNEL 1)
87,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 10-375MHz,RF1,3,VER,2,2,626688,,PASSED,sr-ssd29,1/20/2026 20:27,00:01:34,K (Dependency group B parent); Y (N1525A - CHANNEL 1)
88,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/14/2026 23:15,00:50:33,Y (N1525A - CHANNEL 1)
89,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 375M-3.2GHz,RF1,3,VER,2,2,626688,,PASSED,sr-ssd21,1/15/2026 00:08,00:06:39,K (Dependency group C parent); Y (N1525A - CHANNEL 1)
90,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 375M-3.2GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 00:15,00:35:18,Y (N1525A - CHANNEL 1)
91,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 3.2-20GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,1/20/2026 20:29,00:05:50,K (Dependency group D parent); Y (N1525A - CHANNEL 1)
92,ET57033,PNA-X,Amp Acc OpenLoop PhxDir 3.2-20GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 00:58,00:34:25,Y (N1525A - CHANNEL 1)
93,ET57033,PNA-X,Amp Acc OpenLoop YIG 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd29,1/20/2026 20:35,00:16:11,K (Dependency group E parent); Y (N1525A - CHANNEL 1)
94,ET57033,PNA-X,Amp Acc OpenLoop YIG 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 01:50,00:51:02,Y (N1525A - CHANNEL 1)
95,ET57033,PNA-X,Amp Acc OpenLoop YIG 375M-3.2GHz,RF1,3,VER,2,2,626688,,PASSED,sr-ssd21,1/15/2026 02:42,00:06:19,K (Dependency group F parent); Y (N1525A - CHANNEL 1)
96,ET57033,PNA-X,Amp Acc OpenLoop YIG 375M-3.2GHz,RF1,4,VER,2,2,626688,,ABORTED,sr-ssd29,1/11/2026 19:12,,Y (N1525A - CHANNEL 1)
97,ET57033,PNA-X,Amp Acc OpenLoop YIG 3.2-20GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 06:50,00:06:18,K (Dependency group G parent); Y (N1525A - CHANNEL 1)
98,ET57033,PNA-X,Amp Acc OpenLoop YIG 3.2-20GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 06:57,00:33:09,Y (N1525A - CHANNEL 1)
99,ET57033,PNA-X,Amp Acc ClosedLoop PhxDivide 10-375MHz,RF1,3,VER,2,2,,,CLEARED,sr-ssd21,,,K (Dependency group H parent); Y (N1525A - CHANNEL 1)
100,ET57033,PNA-X,Amp Acc ClosedLoop PhxDivide 10-375MHz,RF1,4,VER,2,2,,,CLEARED,,,,Y (N1525A - CHANNEL 1)
101,ET57033,PNA-X,Amp Acc ClosedLoop PhxDir 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 07:31,00:16:21,K (Dependency group I parent); Y (N1525A - CHANNEL 1)
102,ET57033,PNA-X,Amp Acc ClosedLoop PhxDir 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 07:48,00:49:44,Y (N1525A - CHANNEL 1)
103,ET57033,PNA-X,Amp Acc ClosedLoop PhxDir 375M-3.2GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 08:39,00:06:34,K (Dependency group J parent); Y (N1525A - CHANNEL 1)
104,ET57033,PNA-X,Amp Acc ClosedLoop PhxDir 375M-3.2GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 08:46,00:35:20,Y (N1525A - CHANNEL 1)
105,ET57033,PNA-X,Amp Acc ClosedLoop PhxDir 3.2-20GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 09:22,00:06:26,K (Dependency group K parent); Y (N1525A - CHANNEL 1)
106,ET57033,PNA-X,Amp Acc ClosedLoop PhxDir 3.2-20GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 09:29,00:34:53,Y (N1525A - CHANNEL 1)
107,ET57033,PNA-X,Amp Acc ClosedLoop YIG 10-375MHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 10:05,00:16:18,K (Dependency group L parent); Y (N1525A - CHANNEL 1)
108,ET57033,PNA-X,Amp Acc ClosedLoop YIG 10-375MHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 10:22,00:50:40,Y (N1525A - CHANNEL 1)
109,ET57033,PNA-X,Amp Acc ClosedLoop YIG 375M-3.2GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 11:13,00:06:15,K (Dependency group M parent); Y (N1525A - CHANNEL 1)
110,ET57033,PNA-X,Amp Acc ClosedLoop YIG 375M-3.2GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 11:20,00:35:26,Y (N1525A - CHANNEL 1)
111,ET57033,PNA-X,Amp Acc ClosedLoop YIG 3.2-20GHz,RF1,3,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 11:56,00:06:24,K (Dependency group N parent); Y (N1525A - CHANNEL 1)
112,ET57033,PNA-X,Amp Acc ClosedLoop YIG 3.2-20GHz,RF1,4,VER,2,2,626688,,FAILED,sr-ssd21,1/15/2026 12:03,00:34:55,Y (N1525A - CHANNEL 1)
113,ET52727,High Power Cal,Amp Acc ClosedLoop DacBand_YTO 9kHz-20GHz_Max_Power_with_PM,RF1,6,,2,2,,,FAILED,sr-ssd52_2,1/9/2026 09:49,00:04:20,Y (N1525A - CHANNEL 1)
114,ET52727,High Power Cal,Amp Acc ClosedLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,3,,2,2,,,FAILED,sr-ssd52_2,1/9/2026 10:00,00:08:45,Y (N1525A - CHANNEL 1)
115,ET52727,High Power Cal,Amp Acc ClosedLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,4,,2,2,,,FAILED,sr-ssd52_2,1/9/2026 10:10,00:11:53,Y (N1525A - CHANNEL 1)
116,ET52727,High Power Cal,Amp Acc DAC Band 9KHz-8MHz,RF1,3,,2,2,,,FAILED,sr-ssd52_2,1/14/2026 06:23,00:35:46,Y (N1525A - CHANNEL 1)
117,ET52727,High Power Cal,Amp Acc DAC Band 9KHz-8MHz,RF1,4,,2,2,,,FAILED,sr-ssd52_2,1/14/2026 07:00,01:38:48,Y (N1525A - CHANNEL 1)
118,ET52727,High Power Cal,Amp Acc OpenLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,3,,2,2,,,FAILED,sr-ssd52_2,1/9/2026 10:57,00:02:15,Y (N1525A - CHANNEL 1)
119,ET52727,High Power Cal,Amp Acc OpenLoop DacBand_YTO 9KHz-11.7MHz_with_PM,RF1,4,,2,2,,,FAILED,sr-ssd52_2,1/9/2026 11:00,00:03:52,Y (N1525A - CHANNEL 1)
120,ET56981,Modular Phase Noise,PhaseNoise,RF1,6,,2,2,1,,ABORTED,mod006,,,Y (N1525A - CHANNEL 1)
121,ET57381,Peanuts Phase Noise ,PhaseNoise,RF1,2,,2,2,,,FAILED,sr-ssd56,1/18/2026 05:40,03:25:26,Y (N1525A - CHANNEL 1)
122,ET57381,Peanuts Phase Noise ,PhaseNoise,RF1,22,,2,2,,,FAILED,sr-ssd56,1/17/2026 18:22,03:21:55,Y (N1525A - CHANNEL 1)
123,ET54730,ACLR-Test,Pulse Modulation,RF1,2,,2,2,57344,,PASSED,sr-ssd52,1/14/2026 08:40,00:06:14,D (Group a); Y (N1525A - CHANNEL 1)
124,ET58116,,Pulse Modulation,RF1,3,,2,2,8192,,UNTESTED,,,,Y (N1525A - CHANNEL 1)
125,ET55857,X-Mod,Pulse Modulation,RF1,2,,2,2,73,,UNTESTED,,,,D (Group a); Y (N1525A - CHANNEL 1)
126,ET55857,X-Mod,Pulse Modulation,RF1,3,,2,2,73,,FAILED,sr-ssd02,1/15/2026 16:07,00:53:00,Y (N1525A - CHANNEL 1)
127,ET54730,ACLR-Test,SwitchingSpeed,RF1,2,FAST,2,2,57344,,FAILED,sr-ssd53,1/20/2026 22:48,03:56:31,Y (N1525A - CHANNEL 1)
128,ET54730,ACLR-Test,Analog Modulation,RF1,4,,2,2,57344,,UNTESTED,sr-ssd53,1/20/2026 17:05,00:03:18,D (Group b); Y (N1525A - CHANNEL 1)
129,ET55857,X-Mod,Analog Modulation,RF1,4,,2,2,73,,ABORTED,sr-ssd02,1/20/2026 20:54,01:50:03,D (Group b); Y (N1525A - CHANNEL 1)
130,ET54730,ACLR-Test,Spectral,RF1,10,,2,2,57344,,FAILED,sr-ssd53,1/21/2026 02:45,22:35:37,Y (N1525A - CHANNEL 1)
131,ET54730,ACLR-Test,Spectral,RF1,11,,2,2,57344,,FAILED,sr-ssd52,1/15/2026 17:22,24:16:04,Y (N1525A - CHANNEL 1)
132,ET54730,ACLR-Test,Spectral,RF1,4,,2,2,57344,,PASSED,sr-ssd52,1/16/2026 23:17,00:22:42,Y (N1525A - CHANNEL 1)
133,ET54730,ACLR-Test,Spectral,RF1,99,,2,2,57344,,FAILED,sr-ssd52,1/16/2026 23:40,02:23:08,Y (N1525A - CHANNEL 1)
134,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDivide 10-375MHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 02:05,00:19:59,Y (N1525A - CHANNEL 1)
135,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDir 10-375MHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 02:26,00:19:58,K (Dependency group B child); Y (N1525A - CHANNEL 1)
136,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDir 375M-3.2GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 02:47,00:12:58,K (Dependency group C child); Y (N1525A - CHANNEL 1)
137,ET54730,ACLR-Test,Amp Acc OpenLoop PhxDir 3.2-20GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 03:01,00:28:33,K (Dependency group D child); Y (N1525A - CHANNEL 1)
138,ET54730,ACLR-Test,Amp Acc OpenLoop YIG 10-375MHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 03:30,00:13:41,K (Dependency group E child); Y (N1525A - CHANNEL 1)
139,ET54730,ACLR-Test,Amp Acc OpenLoop YIG 375M-3.2GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 03:45,00:13:00,K (Dependency group F child); Y (N1525A - CHANNEL 1)
140,ET54730,ACLR-Test,Amp Acc OpenLoop YIG 3.2-20GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd52,1/17/2026 03:59,00:28:33,K (Dependency group G child); Y (N1525A - CHANNEL 1)
141,ET547301,,Amp Acc ClosedLoop PhxDivide 10-375MHz Low Power,RF1,3,,2,2,57344,,UNTESTED,,,,K (Dependency group H child); Y (N1525A - CHANNEL 1)
142,ET54730,ACLR-Test,Amp Acc ClosedLoop PhxDir 10-375MHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,1/22/2026 01:22,00:23:22,K (Dependency group I child); Y (N1525A - CHANNEL 1)
143,ET54730,ACLR-Test,Amp Acc ClosedLoop PhxDir 375MHz-3.2GHz Low Power,RF1,3,,2,2,57344,,PASSED,sr-ssd53,1/22/2026 01:46,00:13:00,K (Dependency group J child); Y (N1525A - CHANNEL 1)
144,ET54730,ACLR-Test,Amp Acc ClosedLoop PhxDir 3.2-20GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,1/22/2026 02:00,00:24:52,K (Dependency group K child); Y (N1525A - CHANNEL 1)
145,ET54730,ACLR-Test,Amp Acc ClosedLoop YIG 10-375MHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,1/22/2026 02:27,00:20:03,K (Dependency group L child); Y (N1525A - CHANNEL 1)
146,ET54730,ACLR-Test,Amp Acc ClosedLoop YIG 375MHz-3.2GHz Low Power,RF1,3,,2,2,57344,,PASSED,sr-ssd53,1/22/2026 02:48,00:13:05,K (Dependency group M child); Y (N1525A - CHANNEL 1)
147,ET54730,ACLR-Test,Amp Acc ClosedLoop YIG 3.2-20GHz Low Power,RF1,3,,2,2,57344,,FAILED,sr-ssd53,1/22/2026 03:02,00:24:56,K (Dependency group N child); Y (N1525A - CHANNEL 1)
254,ET54791,Postponement,Imaging,CPU,4,,2,2,,,UNTESTED,,,,A; G (Ship It)
255,ET54791,Postponement,Imaging,CPU,5,,2,2,,,UNTESTED,,,,A; G (Ship It)
256,ET54791,Postponement,CustomerInit,CPU,2,,2,2,,,UNTESTED,,,,A; G (Ship It)
257,ET54791,Postponement,CustomerInit,CPU,3,,2,2,,,UNTESTED,,,,A; G (Ship It)
258,ET54791,Postponement,FinalConfiguration,CPU,2,,2,2,,,UNTESTED,,,,A; G (Ship It)
259,HiPot,High Potential Test,Hi Pot,CPU,2,,2,2,,,UNTESTED,,,,G (Ship It)
